sortie,order,variables,global_var_pct,intrinsic_var_pct,p_A,trace,adj_trace,label
N_lixi,1,n_ferti,19.767409178904813,4.813077437289047,1.0,0.02900085078551324,0.029000850495504736,n_ferti
N_lixi,1,Dose_F2,15.587474134725943,15.427141981194346,0.496,0.02286845015514974,0.09295512985171063,Dose_F2
N_lixi,1,Date_F1,10.333351624289502,4.496878003261353,0.748,0.015160104486027738,0.0270956136418535,Date_F1
N_lixi,1,Dose_F1,8.90820641954645,3.8766819279049147,0.748,0.013069267843937606,0.02335866698066669,Dose_F1
N_lixi,1,Date_F2,7.467596715203944,7.3907853054331465,0.496,0.01095574316816044,0.04453264309164449,Date_F2
N_lixi,1,Dose_F3,5.494116025267985,23.09611680585806,0.24066666666666667,0.008060441184023773,0.1391639838004915,Dose_F3
N_lixi,2,n_ferti & Date_F1,4.664974327638391,2.0301080619792016,0.748,0.006844003843380065,0.012232269512027383,n_ferti & Date_F1
N_lixi,2,n_ferti & Dose_F1,3.2074781064924296,1.395833439861282,0.748,0.004705704886377078,0.008410493584089018,n_ferti & Dose_F1
N_lixi,2,Date_F1 & Dose_F1,2.7367015829149066,1.190960454764041,0.748,0.004015026629554005,0.007176046208415923,Date_F1 & Dose_F1
N_lixi,3,n_ferti & Date_F1 & Dose_F1,2.3738638470942575,1.0330603762329171,0.748,0.0034827058311806135,0.006224630688849957,n_ferti & Date_F1 & Dose_F1
N_lixi,2,n_ferti & Dose_F3,2.2007494168762944,9.25149111500965,0.24066666666666667,0.003228728908148738,0.05574419156613553,n_ferti & Dose_F3
N_lixi,2,n_ferti & Dose_F2,1.8466583032940118,1.8276636477106205,0.496,0.0027092403167740674,0.011012455314489767,n_ferti & Dose_F2
